purchase_date,item_name,item_price,purchase_month,顧客名,かな,地域,メールアドレス,登録日
2019-06-13 18:02:34,商品A,100.0,201906,深井菜々美,ふかい ななみ,C市,fukai_nanami@example.com,2017-01-26 00:00:00
2019-07-13 13:05:29,商品S,1900.0,201907,浅田賢二,あさだ けんじ,C市,asada_kenji@example.com,2018-04-07 00:00:00
2019-05-11 19:42:07,商品A,100.0,201905,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19 00:00:00
2019-02-12 23:40:45,商品Z,2600.0,201902,麻生莉緒,あそう りお,D市,asou_rio@example.com,2018-07-22 00:00:00
2019-04-22 03:09:35,商品A,100.0,201904,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07 00:00:00
2019-03-20 19:16:01,商品S,1900.0,201903,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14 00:00:00
2019-05-18 19:16:53,商品A,100.0,201905,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21 00:00:00
2019-04-18 00:14:21,商品V,2200.0,201904,牧田玲那,まきた れな,A市,makita_rena@example.com,2017-05-13 00:00:00
2019-01-10 15:51:01,商品O,1500.0,201901,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05 00:00:00
2019-01-28 10:47:03,商品A,100.0,201901,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09 00:00:00
2019-06-21 01:54:35,商品U,2100.0,201906,矢部惇,やべ じゅん,A市,yabe_jun@example.com,2018-05-20 00:00:00
2019-06-08 11:32:25,商品L,1200.0,201906,岡田敏也,おかだ としや,E市,okada_toshiya@example.com,2017-02-16 00:00:00
2019-04-08 02:00:44,商品V,2200.0,201904,浅見広司,あさみ こうじ,D市,asami_kouji@example.com,2018-06-03 00:00:00
2019-06-19 09:50:52,商品O,1500.0,201906,熊井憲史,くまい のりひと,A市,kumai_norihito@example.com,2017-03-29 00:00:00
2019-06-11 12:57:24,商品A,100.0,201906,黄川田博之,きかわだ ひろゆき,C市,kikawada_hiroyuki@example.com,2018-02-14 00:00:00
2019-04-21 00:11:43,商品C,300.0,201904,尾形小雁,おがた こがん,B市,ogata_kogan@example.com,2017-03-15 00:00:00
2019-03-28 23:24:46,商品V,2200.0,201903,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23 00:00:00
2019-04-06 12:00:53,商品I,900.0,201904,若杉徹,わかすぎ とおる,G市,wakasugi_tohru@example.com,2017-03-24 00:00:00
2019-07-16 05:55:57,商品R,1800.0,201907,石渡小雁,いしわたり こがん,D市,ishiwatari_kogan@example.com,2017-07-28 00:00:00
2019-07-03 07:04:05,商品X,2400.0,201907,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06 00:00:00
2019-07-05 10:49:13,商品O,1500.0,201907,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23 00:00:00
2019-06-10 19:07:23,商品G,700.0,201906,黒谷長利,くろたに ながとし,A市,kurotani_nagatoshi@example.com,2017-04-27 00:00:00
2019-07-10 20:28:12,商品X,2400.0,201907,田辺光洋,たなべ みつひろ,A市,tanabe_mitsuhiro@example.com,2018-07-04 00:00:00
2019-07-10 12:44:10,商品R,1800.0,201907,戸塚美幸,とづか みゆき,H市,toduka_miyuki@example.com,2017-01-30 00:00:00
